id_customer,customer_name,demographic_information,customer_contact,purchase_history,preferences,id_distribution_client
1,John Doe,"Age: 30, Gender: Male",john@example.com,"Purchased items A, B","Preferred shipping: Express",1
2,Jane Smith,"Age: 28, Gender: Female",jane@example.com,"Purchased items C, D, E","Preferred payment: Credit card",2
3,Bob Johnson,"Age: 35, Gender: Male",robert@example.com,"Purchased items A, C, F","Preferred category: Electronics",3
4,Alice Brown,"Age: 25, Gender: Female",emily@example.com,"Purchased items B, D, G","Preferred payment: PayPal",4
5,Charlie White,"Age: 40, Gender: Male",michael@example.com,"Purchased items E, F, H","Preferred shipping: Standard",5
6,Eva Green,"Age: 32, Gender: Female",susan@example.com,"Purchased items A, B, C","Preferred category: Clothing",6
7,Michael Davis,"Age: 28, Gender: Male",david@example.com,"Purchased items D, E, F","Preferred payment: Debit card",7
8,Sarah Wilson,"Age: 29, Gender: Female",amy@example.com,"Purchased items G, H, I","Preferred shipping: Express",8
9,David Miller,"Age: 35, Gender: Male",brian@example.com,"Purchased items A, C, D","Preferred category: Home goods",9
10,Linda Lee,"Age: 26, Gender: Female",linda@example.com,"Purchased items B, E, H","Preferred payment: Credit card",10
